method,k,n_probe,qps,recall,query_time_ms,speedup_vs_flat
IVF,10,1.0,143.92,0.584,6.95,1.79
IVF,10,2.0,144.89,0.787,6.9,1.8
IVF,10,4.0,144.65,0.897,6.91,1.8
IVF,10,8.0,143.65,0.95,6.96,1.79
IVF,10,16.0,147.37,0.97,6.79,1.83
IVF,50,1.0,147.32,0.571,6.79,1.83
IVF,50,2.0,147.49,0.771,6.78,1.83
IVF,50,4.0,148.63,0.883,6.73,1.85
IVF,50,8.0,148.19,0.946,6.75,1.84
IVF,50,16.0,150.69,0.979,6.64,1.87
IVF,100,1.0,151.4,0.569,6.6,1.89
IVF,100,2.0,151.36,0.769,6.61,1.89
IVF,100,4.0,150.07,0.881,6.66,1.88
IVF,100,8.0,148.04,0.945,6.76,1.85
IVF,100,16.0,147.23,0.979,6.79,1.84
Flat,10,,80.45,1.0,12.43,1.0
Flat,50,,80.46,1.0,12.43,1.0
Flat,100,,79.95,1.0,12.51,1.0
