method,k,qps,recall,query_time_ms,speedup_vs_flat,configuration
Flat Search,1,509.3,1.0,1.96,1.0,Exhaustive search
Flat Search,5,517.12,1.0,1.93,1.0,Exhaustive search
Flat Search,10,392.81,1.0,2.55,1.0,Exhaustive search
Flat Search,50,392.5,1.0,2.55,1.0,Exhaustive search
Flat Search,100,527.18,1.0,1.9,1.0,Exhaustive search
IVF Search (Best),1,1241.21,0.97,0.81,2.44,n_probe=32
IVF Search (Best),5,1341.3,0.97,0.75,2.59,n_probe=32
IVF Search (Best),10,1388.95,0.97,0.72,3.54,n_probe=32
IVF Search (Best),50,1410.74,0.97,0.71,3.59,n_probe=32
IVF Search (Best),100,1142.36,0.97,0.88,2.17,n_probe=32
