method,k,n_probe,qps,recall,query_time_ms,speedup_vs_flat
IVF,1,1.0,12779.72,0.39,0.08,25.09
IVF,1,2.0,9959.41,0.55,0.1,19.55
IVF,1,4.0,7292.92,0.72,0.14,14.32
IVF,1,8.0,4050.75,0.86,0.25,7.95
IVF,1,16.0,1776.5,0.9,0.56,3.49
IVF,1,32.0,1241.21,0.97,0.81,2.44
IVF,1,64.0,635.46,1.0,1.57,1.25
IVF,5,1.0,16251.32,0.39,0.06,31.43
IVF,5,2.0,9116.07,0.55,0.11,17.63
IVF,5,4.0,6170.45,0.72,0.16,11.93
IVF,5,8.0,4243.83,0.86,0.24,8.21
IVF,5,16.0,2543.79,0.9,0.39,4.92
IVF,5,32.0,1341.3,0.97,0.75,2.59
IVF,5,64.0,718.91,1.0,1.39,1.39
IVF,10,1.0,17591.34,0.39,0.06,44.78
IVF,10,2.0,12893.25,0.55,0.08,32.82
IVF,10,4.0,7988.69,0.72,0.13,20.34
IVF,10,8.0,4726.94,0.86,0.21,12.03
IVF,10,16.0,2620.6,0.9,0.38,6.67
IVF,10,32.0,1388.95,0.97,0.72,3.54
IVF,10,64.0,721.35,1.0,1.39,1.84
IVF,50,1.0,18327.74,0.39,0.05,46.7
IVF,50,2.0,13313.56,0.55,0.08,33.92
IVF,50,4.0,8398.69,0.72,0.12,21.4
IVF,50,8.0,4851.6,0.86,0.21,12.36
IVF,50,16.0,2659.66,0.9,0.38,6.78
IVF,50,32.0,1410.74,0.97,0.71,3.59
IVF,50,64.0,727.2,1.0,1.38,1.85
IVF,100,1.0,18041.57,0.39,0.06,34.22
IVF,100,2.0,13025.38,0.55,0.08,24.71
IVF,100,4.0,8173.48,0.72,0.12,15.5
IVF,100,8.0,4806.95,0.86,0.21,9.12
IVF,100,16.0,2650.38,0.9,0.38,5.03
IVF,100,32.0,1142.36,0.97,0.88,2.17
IVF,100,64.0,697.12,1.0,1.43,1.32
Flat,1,,509.3,1.0,1.96,1.0
Flat,5,,517.12,1.0,1.93,1.0
Flat,10,,392.81,1.0,2.55,1.0
Flat,50,,392.5,1.0,2.55,1.0
Flat,100,,527.18,1.0,1.9,1.0
