method,k,n_probe,qps,recall,query_time_ms,speedup_vs_flat
IVF,1,1.0,888.83,0.44,1.13,185.48
IVF,1,2.0,501.1,0.6,2.0,104.57
IVF,1,4.0,278.63,0.75,3.59,58.15
IVF,1,8.0,142.83,0.84,7.0,29.81
IVF,1,16.0,74.82,0.9,13.37,15.61
IVF,1,32.0,37.16,0.92,26.91,7.75
IVF,1,64.0,18.39,0.96,54.37,3.84
IVF,5,1.0,894.86,0.435,1.12,185.27
IVF,5,2.0,533.33,0.595,1.88,110.42
IVF,5,4.0,282.82,0.745,3.54,58.55
IVF,5,8.0,143.18,0.835,6.98,29.64
IVF,5,16.0,74.63,0.895,13.4,15.45
IVF,5,32.0,37.11,0.915,26.95,7.68
IVF,5,64.0,18.27,0.955,54.73,3.78
IVF,10,1.0,924.23,0.435,1.08,191.24
IVF,10,2.0,527.18,0.595,1.9,109.08
IVF,10,4.0,289.75,0.745,3.45,59.95
IVF,10,8.0,147.89,0.835,6.76,30.6
IVF,10,16.0,73.98,0.895,13.52,15.31
IVF,10,32.0,37.61,0.915,26.59,7.78
IVF,10,64.0,18.26,0.955,54.78,3.78
IVF,50,1.0,910.0,0.435,1.1,188.42
IVF,50,2.0,517.68,0.595,1.93,107.19
IVF,50,4.0,287.82,0.745,3.47,59.59
IVF,50,8.0,141.98,0.835,7.04,29.4
IVF,50,16.0,75.08,0.895,13.32,15.55
IVF,50,32.0,37.46,0.915,26.69,7.76
IVF,50,64.0,18.31,0.955,54.61,3.79
IVF,100,1.0,885.02,0.435,1.13,183.21
IVF,100,2.0,530.53,0.595,1.88,109.83
IVF,100,4.0,268.27,0.745,3.73,55.54
IVF,100,8.0,146.7,0.835,6.82,30.37
IVF,100,16.0,75.2,0.895,13.3,15.57
IVF,100,32.0,36.03,0.915,27.75,7.46
IVF,100,64.0,17.97,0.955,55.64,3.72
Flat,1,,4.79,1.0,208.68,1.0
Flat,5,,4.83,1.0,207.04,1.0
Flat,10,,4.83,1.0,206.92,1.0
Flat,50,,4.83,1.0,207.06,1.0
Flat,100,,4.83,1.0,207.01,1.0
